Vendor,Batch,Assay_Plate_Barcode,sphering,dropout,value_95_replicating,Percent_Replicating,Plate_Map_Name,Modality,Images_per_well,Sites-SubSampled,Binning,Magnification,Number_of_channels,z_plane,BF_Zplanes,spinning-disc,aperture,dry-immersion,vs-brightfield,simultaneous-excitation,sites,Size_MB,Size_MB_std,channel_names,brightfield_z_plane_used,feature_channels_found,num_features,n_columns,Percent_Matching,value_95_matching,cell_count
PE,Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P1,True,(),0.2019349438781681,61.111111111111114,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,1,,,1.0,water,,,3,9.526376890277778,2.0565191378417467,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",518,3532,16.27906976744186,0.2956222462692752,359491
PE,Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P1,True,"('RNA',)",0.20470878849115015,60.0,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,1,,,1.0,water,,,3,9.526376890277778,2.0565191378417467,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",502,2821,18.6046511627907,0.29738555134131855,359491
PE,Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P2,True,(),0.21504378078486666,56.666666666666664,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,1,,,1.0,water,,,3,9.484644246354168,2.025928930970477,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",542,3532,23.25581395348837,0.3186165860227407,368727
PE,Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P2,True,"('RNA',)",0.22009646626616935,55.55555555555556,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,1,,,1.0,water,,,3,9.484644246354168,2.025928930970477,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",522,2821,25.581395348837212,0.3246851898885269,368727
PE,Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P3,True,(),0.1897848724354645,53.333333333333336,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,1,,,1.0,water,,,3,9.352902417534724,1.9951894891107755,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",511,3532,20.930232558139537,0.27784605048542793,369895
PE,Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P3,True,"('RNA',)",0.18506187464236346,54.44444444444444,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,1,,,1.0,water,,,3,9.352902417534724,1.9951894891107755,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",501,2821,23.25581395348837,0.28667652347418865,369895
PE,Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P4,True,(),0.20086414211149092,57.77777777777777,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,1,,,1.0,water,,,3,9.587194772569443,1.98962241996142,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",500,3532,20.930232558139537,0.2980085566379035,416408
PE,Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P4,True,"('RNA',)",0.20044456615824713,58.88888888888889,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,1,,,1.0,water,,,3,9.587194772569443,1.98962241996142,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",482,2821,23.25581395348837,0.2966578377240272,416408
PE,Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P1,True,(),0.19537730929376113,58.88888888888889,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,3,,,1.0,water,,,3,9.427739027387153,1.770551519981647,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",510,3532,20.930232558139537,0.3045155191803782,359818
PE,Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P1,True,"('RNA',)",0.19946459367783465,60.0,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,3,,,1.0,water,,,3,9.427739027387153,1.770551519981647,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",495,2821,18.6046511627907,0.322853988510476,359818
PE,Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P2,True,(),0.2211534340170029,57.77777777777777,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,3,,,1.0,water,,,3,9.400030113975694,1.7444178588993882,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",537,3532,23.25581395348837,0.31378616437258966,368742
PE,Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P2,True,"('RNA',)",0.22134661133710123,57.77777777777777,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,3,,,1.0,water,,,3,9.400030113975694,1.7444178588993882,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",524,2821,23.25581395348837,0.31705933121061436,368742
PE,Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P3,True,(),0.18640127585685373,57.77777777777777,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,3,,,1.0,water,,,3,9.294915464192709,1.7150987613811473,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",505,3532,20.930232558139537,0.2654865521732653,370393
PE,Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P3,True,"('RNA',)",0.1803862411719883,58.88888888888889,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,3,,,1.0,water,,,3,9.294915464192709,1.7150987613811473,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",490,2821,18.6046511627907,0.28498363124897097,370393
PE,Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P4,True,(),0.2030014797046734,57.77777777777777,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,3,,,1.0,water,,,3,9.473822339626736,1.7165383290089768,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",496,3532,23.25581395348837,0.29037328526434497,416634
PE,Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P4,True,"('RNA',)",0.19836118961866386,62.22222222222222,JUMP-MOA_compound_platemap,Confocal,3,,1,20,5,3,,,1.0,water,,,3,9.473822339626736,1.7165383290089768,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",479,2821,20.930232558139537,0.2869326766482969,416634
PE,Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P1,True,(),0.19037051830171597,58.88888888888889,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,1,,,1.0,water,,,3,9.361273220138887,1.4108040446701178,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",495,3532,20.930232558139537,0.31591301789803977,354572
PE,Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P1,True,"('RNA',)",0.19680401225047242,58.88888888888889,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,1,,,1.0,water,,,3,9.361273220138887,1.4108040446701178,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",430,2821,20.930232558139537,0.3137792882402388,354572
PE,Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P2,True,(),0.20039902815882651,57.77777777777777,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,1,,,1.0,water,,,3,9.244346441493056,1.3545035864597534,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",546,3532,23.25581395348837,0.2969374695724525,362772
PE,Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P2,True,"('RNA',)",0.19899028891090909,58.88888888888889,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,1,,,1.0,water,,,3,9.244346441493056,1.3545035864597534,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",480,2821,25.581395348837212,0.2934148991722637,362772
PE,Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P3,True,(),0.1790333310242352,58.88888888888889,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,1,,,1.0,water,,,3,9.078627320486111,1.285123915312363,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",512,3532,18.6046511627907,0.25330218842459384,364413
PE,Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P3,True,"('RNA',)",0.1783862373684713,62.22222222222222,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,1,,,1.0,water,,,3,9.078627320486111,1.285123915312363,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",448,2821,20.930232558139537,0.24512584376647822,364413
PE,Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P4,True,(),0.1745969037804654,60.0,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,1,,,1.0,water,,,3,9.285375732465278,1.3568508549011784,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",500,3532,25.581395348837212,0.25473198634723826,408123
PE,Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P4,True,"('RNA',)",0.18204481800675734,61.111111111111114,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,1,,,1.0,water,,,3,9.285375732465278,1.3568508549011784,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",446,2821,25.581395348837212,0.2580447488259134,408123
PE,Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P1,True,(),0.20400434784042726,58.88888888888889,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,3,,,1.0,water,,,3,9.352243912760416,1.218635233760007,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",472,3532,18.6046511627907,0.32072812895135694,351966
PE,Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P1,True,"('RNA',)",0.21466342781954,56.666666666666664,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,3,,,1.0,water,,,3,9.352243912760416,1.218635233760007,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",412,2821,16.27906976744186,0.32711857112968257,351966
PE,Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P2,True,(),0.19413474489605123,57.77777777777777,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,3,,,1.0,water,,,3,9.26465514249132,1.1695304824284756,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",534,3532,23.25581395348837,0.2945702784454384,360334
PE,Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P2,True,"('RNA',)",0.19235078518468704,58.88888888888889,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,3,,,1.0,water,,,3,9.26465514249132,1.1695304824284756,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",472,2821,23.25581395348837,0.2906817425369563,360334
PE,Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P3,True,(),0.18844596354432375,58.88888888888889,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,3,,,1.0,water,,,3,9.13974850384198,1.114549893932567,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",514,3532,20.930232558139537,0.2639282069379202,361578
PE,Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P3,True,"('RNA',)",0.1731655515483431,62.22222222222222,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,3,,,1.0,water,,,3,9.13974850384198,1.114549893932567,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",463,2821,20.930232558139537,0.2578064478180916,361578
PE,Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P4,True,(),0.191206414873493,57.77777777777777,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,3,,,1.0,water,,,3,9.294385866015624,1.171688340664966,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",495,3532,20.930232558139537,0.2714789576591854,403624
PE,Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P4,True,"('RNA',)",0.1887905825621169,61.111111111111114,JUMP-MOA_compound_platemap,Widefield,3,,1,20,5,3,,,1.0,water,,,3,9.294385866015624,1.171688340664966,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",435,2821,23.25581395348837,0.26777700681546646,403624
PE,Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP1,True,(),0.1845616263370982,58.88888888888889,JUMP-MOA_compound_platemap,Confocal,3,,2,20,5,1,,,1.0,water,,,3,2.5278992638888886,0.4412584035977545,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",474,3532,23.25581395348837,0.276225759369092,347861
PE,Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP1,True,"('RNA',)",0.18403522604086686,58.88888888888889,JUMP-MOA_compound_platemap,Confocal,3,,2,20,5,1,,,1.0,water,,,3,2.5278992638888886,0.4412584035977545,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",462,2821,20.930232558139537,0.2840133520630421,347861
PE,Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP2,True,(),0.19702549390025692,60.0,JUMP-MOA_compound_platemap,Confocal,3,,2,20,5,1,,,1.0,water,,,3,2.5117242170138887,0.4385164451853092,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",501,3532,23.25581395348837,0.3007232303752712,355872
PE,Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP2,True,"('RNA',)",0.19432807908080033,61.111111111111114,JUMP-MOA_compound_platemap,Confocal,3,,2,20,5,1,,,1.0,water,,,3,2.5117242170138887,0.4385164451853092,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",489,2821,20.930232558139537,0.2937815351267393,355872
PE,Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP3,True,(),0.19306382613160053,58.88888888888889,JUMP-MOA_compound_platemap,Confocal,3,,2,20,5,1,,,1.0,water,,,3,2.496831200868056,0.4324858760085421,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",481,3532,23.25581395348837,0.2758947599812504,358346
PE,Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP3,True,"('RNA',)",0.1853151786526732,61.111111111111114,JUMP-MOA_compound_platemap,Confocal,3,,2,20,5,1,,,1.0,water,,,3,2.496831200868056,0.4324858760085421,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",470,2821,23.25581395348837,0.2814238513393702,358346
PE,Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP4,True,(),0.18344961177254382,55.55555555555556,JUMP-MOA_compound_platemap,Confocal,3,,2,20,5,1,,,1.0,water,,,3,2.5391980420138887,0.4416072258404082,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",466,3532,23.25581395348837,0.26642062756819046,400114
PE,Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP4,True,"('RNA',)",0.1821326747299475,56.666666666666664,JUMP-MOA_compound_platemap,Confocal,3,,2,20,5,1,,,1.0,water,,,3,2.5391980420138887,0.4416072258404082,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",453,2821,23.25581395348837,0.2576855686698491,400114
PE,Scope1_PE_Bin2_Confocal_3Plane,CPBroadPhenixCP1,True,(),0.20734743158796984,58.88888888888889,JUMP-MOA_compound_platemap,Confocal,3,,2,20,5,3,,,1.0,water,,,3,2.469308975434028,0.3880017512438815,"DNA, ER, Mito, RNA, WGPhalloidin",,"DNA, ER, Mito, RNA, WGPhalloidin",492,3532,16.27906976744186,0.3252451459339214,347894
